t_rel,cgroup_bytes,kernel_rss,kernel_pss,claude_rss,claude_pss,health_observed,health_claude_rss,health_kernel_rss
0.836,3330367488,15536128,13585408,270655488,268914688,3330375680,270655488,15536128
1.342,3330400256,15536128,13585408,270753792,268881920,3330400256,270753792,15536128
1.848,3330359296,15536128,13585408,270753792,268890112,3330359296,270753792,15536128
2.354,3330400256,15536128,13585408,270692352,268881920,3330400256,270692352,15536128
2.861,3330359296,15536128,13585408,270692352,268890112,3330359296,270692352,15536128
3.366,3330412544,15536128,13585408,270680064,268881920,3330412544,270680064,15536128
3.872,3330363392,15536128,13585408,270680064,268873728,3330363392,270680064,15536128
4.379,3330420736,15536128,13585408,270663680,268873728,3330420736,270663680,15536128
4.885,3330400256,15536128,13585408,270663680,268890112,3330400256,270663680,15536128
5.391,3330392064,15536128,13585408,270884864,268881920,3330392064,270884864,15536128
5.897,3330592768,15536128,13585408,270884864,268890112,3330592768,270884864,15536128
6.403,3330387968,15536128,13585408,270835712,268881920,3330387968,270835712,15536128
6.909,3330363392,15536128,13585408,270835712,268890112,3330363392,270835712,15536128
7.415,3330383872,15536128,13585408,270778368,268890112,3330383872,270778368,15536128
7.922,3330359296,15536128,13585408,270778368,268881920,3330359296,270778368,15536128
8.429,3330375680,15536128,13585408,270737408,268894208,3330375680,270737408,15536128
8.935,3330342912,15536128,13585408,270737408,268890112,3330342912,270737408,15536128
9.441,3330629632,15536128,13585408,270852096,268902400,3330641920,270852096,15536128
9.947,3330584576,15536128,13585408,270852096,268902400,3330584576,270852096,15536128
10.453,3330273280,15536128,13585408,270778368,268800000,3330273280,270778368,15536128
10.964,3330224128,15536128,13585408,270778368,268800000,3330224128,270778368,15536128
11.470,3330265088,15536128,13585408,270630912,268800000,3330265088,270630912,15536128
11.980,3330347008,15536128,13585408,270630912,268800000,3330347008,270630912,15536128
12.486,3330351104,15536128,13585408,270704640,268804096,3330351104,270704640,15536128
12.993,3330314240,15536128,13585408,270704640,268804096,3330314240,270704640,15536128
13.499,3330347008,15536128,13585408,270667776,268804096,3330347008,270667776,15536128
14.005,3330330624,15536128,13585408,270667776,268804096,3330330624,270667776,15536128
14.511,3330359296,15536128,13585408,270630912,268804096,3330359296,270630912,15536128
15.017,3330338816,15536128,13585408,270630912,268804096,3330338816,270630912,15536128
15.524,3330588672,15536128,13585408,270589952,268804096,3330588672,270589952,15536128
16.030,3330514944,15536128,13585408,270589952,268804096,3330514944,270589952,15536128
16.536,3330551808,15536128,13585408,270696448,268804096,3330551808,270696448,15536128
17.043,3330527232,15536128,13585408,270696448,268804096,3330527232,270696448,15536128
17.554,3330236416,15536128,13585408,270659584,268812288,3330236416,270659584,15536128
18.061,3330191360,15536128,13585408,270659584,268816384,3330191360,270659584,15536128
18.571,3330215936,15536128,13585408,270745600,268816384,3330215936,270745600,15536128
19.082,3330449408,15536128,13585408,270745600,268816384,3330449408,270745600,15536128
19.592,3330416640,15536128,13585408,270684160,268820480,3330416640,270684160,15536128
20.100,3330416640,15536128,13585408,270684160,268820480,3330416640,270684160,15536128
20.606,3330416640,15536128,13585408,270651392,268820480,3330416640,270651392,15536128
21.113,3330396160,15536128,13585408,270651392,268820480,3330396160,270651392,15536128
21.618,3330392064,15536128,13585408,270618624,268824576,3330392064,270618624,15536128
22.125,3330375680,15536128,13585408,270618624,268824576,3330375680,270618624,15536128
22.631,3330400256,15536128,13585408,270741504,268824576,3330400256,270741504,15536128
23.137,3330387968,15536128,13585408,270741504,268824576,3330387968,270741504,15536128
23.643,3330605056,15536128,13585408,270680064,268824576,3330605056,270680064,15536128
24.150,3330596864,15536128,13585408,270680064,268824576,3330596864,270680064,15536128
24.656,3330359296,15536128,13585408,270790656,268824576,3330359296,270790656,15536128
25.162,3330359296,15536128,13585408,270790656,268824576,3330359296,270790656,15536128
25.668,3330306048,15536128,13585408,270725120,268824576,3330306048,270725120,15536128
26.175,3331076096,15536128,13585408,270987264,269221888,3331080192,270987264,15536128
26.680,3330547712,15536128,13585408,270671872,268824576,3330547712,270671872,15536128
27.186,3330793472,15536128,13585408,270934016,269242368,3330793472,270934016,15536128
27.692,3330514944,15536128,13585408,270626816,268828672,3330514944,270626816,15536128
28.198,3330363392,15536128,13585408,271020032,268984320,3330760704,271020032,15536128
28.704,3330527232,15536128,13585408,270626816,268828672,3330527232,270626816,15536128
29.209,3330412544,15536128,13585408,270753792,268832768,3330412544,270753792,15536128
29.714,3330490368,15536128,13585408,270753792,268828672,3330490368,270753792,15536128
30.222,3331031040,15536128,13585408,271405056,269406208,3331031040,271405056,15536128
