t_rel,cgroup_bytes,kernel_rss,kernel_pss,claude_rss,claude_pss,health_observed,health_claude_rss,health_kernel_rss,health_service_rss,health_pending,health_admission
0.327,3398987776,15831040,13990912,293507072,291353600,309338112,293507072,15831040,309338112,0,allow
0.842,3401732096,15831040,13990912,293507072,291349504,309338112,293507072,15831040,309338112,0,allow
1.364,3399159808,15831040,13990912,293535744,291365888,309366784,293535744,15831040,309366784,0,allow
2.108,3399217152,15831040,13990912,293404672,291353600,309235712,293404672,15831040,309235712,0,allow
2.849,3399356416,15831040,13990912,293367808,291353600,309198848,293367808,15831040,309198848,0,allow
3.357,3400855552,16355328,14322688,294404096,292389888,310759424,294404096,16355328,310759424,1,allow
3.863,3401138176,16355328,14322688,293974016,291996672,310329344,293974016,16355328,310329344,1,allow
4.369,3401314304,16355328,14322688,294064128,292021248,310419456,294064128,16355328,310419456,1,allow
4.875,3401187328,16355328,14322688,294060032,292021248,310415360,294060032,16355328,310415360,1,allow
5.381,3401281536,16355328,14322688,294060032,292025344,310415360,294060032,16355328,310415360,1,allow
5.886,3401621504,16355328,14322688,294060032,292017152,310415360,294060032,16355328,310415360,1,allow
6.393,3401662464,16355328,14322688,294170624,292029440,310525952,294170624,16355328,310525952,1,allow
6.898,3401658368,16355328,14322688,294170624,292017152,310525952,294170624,16355328,310525952,1,allow
7.404,3401601024,16355328,14322688,294133760,292049920,310489088,294133760,16355328,310489088,1,allow
7.910,3401117696,16355328,14322688,294133760,292025344,310489088,294133760,16355328,310489088,1,allow
8.415,3401134080,16355328,14322688,294060032,292033536,310415360,294060032,16355328,310415360,1,allow
8.922,3401367552,16355328,14322688,294133760,292144128,310489088,294133760,16355328,310489088,1,allow
9.428,3401592832,16355328,14322688,294219776,292303872,310575104,294219776,16355328,310575104,1,allow
9.934,3401519104,16355328,14322688,294567936,292332544,310923264,294567936,16355328,310923264,1,allow
10.440,3402682368,16355328,14322688,295452672,293434368,311808000,295452672,16355328,311808000,1,allow
10.946,3402498048,16355328,14322688,295452672,293377024,311808000,295452672,16355328,311808000,1,allow
11.452,3402571776,16355328,14322688,295378944,293413888,311734272,295378944,16355328,311734272,1,allow
11.958,3402993664,16355328,14322688,295641088,293774336,311996416,295641088,16355328,311996416,1,allow
12.463,3403149312,16355328,14322688,295911424,293917696,312266752,295911424,16355328,312266752,1,allow
12.969,3403010048,16355328,14322688,295911424,293827584,312266752,295911424,16355328,312266752,1,allow
13.475,3403493376,16355328,14322688,296079360,294024192,312434688,296079360,16355328,312434688,1,allow
13.981,3403948032,16355328,14322688,296210432,294315008,312565760,296210432,16355328,312565760,1,allow
14.487,3403632640,16355328,14322688,296308736,294163456,312664064,296308736,16355328,312664064,1,allow
14.994,3414487040,16355328,14322688,296177664,294138880,312532992,296177664,16355328,312532992,1,allow
15.501,3405910016,16355328,14322688,296194048,294147072,312549376,296194048,16355328,312549376,1,allow
16.007,3405819904,16355328,14322688,296194048,294167552,312549376,296194048,16355328,312549376,1,allow
16.514,3405869056,16355328,14322688,296292352,294286336,312647680,296292352,16355328,312647680,1,allow
17.020,3405680640,16355328,14322688,296292352,294294528,312647680,296292352,16355328,312647680,1,allow
17.527,3405733888,16355328,14322688,296325120,294269952,312680448,296325120,16355328,312680448,1,allow
18.036,3412201472,16355328,14322688,296325120,294298624,312680448,296325120,16355328,312680448,1,allow
18.543,3412107264,16355328,14322688,296423424,294351872,312778752,296423424,16355328,312778752,1,allow
19.049,3411910656,16355328,14322688,296288256,294265856,312643584,296288256,16355328,312643584,1,allow
19.555,3411812352,16355328,14322688,296312832,294298624,312668160,296312832,16355328,312668160,1,allow
20.062,3411734528,16355328,14322688,296312832,294278144,312668160,296312832,16355328,312668160,1,allow
20.568,3411902464,16355328,14322688,296169472,294249472,312524800,296169472,16355328,312524800,1,allow
21.074,3411771392,16355328,14322688,296169472,294224896,312524800,296169472,16355328,312524800,1,allow
21.581,3411800064,16355328,14322688,296218624,294245376,312573952,296218624,16355328,312573952,1,allow
22.087,3411677184,16355328,14322688,296218624,294245376,312573952,296218624,16355328,312573952,1,allow
22.593,3411681280,16355328,14322688,296235008,294241280,312590336,296235008,16355328,312590336,1,allow
23.100,3411668992,16355328,14322688,296235008,294241280,312590336,296235008,16355328,312590336,1,allow
23.606,3411628032,16355328,14322688,296288256,294241280,312643584,296288256,16355328,312643584,1,allow
24.113,3411607552,16355328,14322688,296288256,294241280,312643584,296288256,16355328,312643584,1,allow
24.619,3412123648,16355328,14322688,296534016,294626304,312889344,296534016,16355328,312889344,1,allow
25.126,3412025344,16355328,14322688,296534016,294630400,312889344,296534016,16355328,312889344,1,allow
25.632,3403862016,16355328,14322688,296558592,294560768,312913920,296558592,16355328,312913920,1,allow
26.139,3403988992,16355328,14322688,296558592,294663168,312913920,296558592,16355328,312913920,1,allow
26.645,3390062592,16355328,14322688,282791936,280736768,299147264,282791936,16355328,299147264,1,allow
27.151,3390042112,16355328,14322688,282791936,280736768,299147264,282791936,16355328,299147264,1,allow
27.657,3390222336,16355328,14322688,282783744,280749056,299139072,282783744,16355328,299139072,1,allow
28.163,3390717952,16355328,14322688,283308032,281326592,299663360,283308032,16355328,299663360,1,allow
28.672,3390328832,16355328,14322688,282861568,280900608,299216896,282861568,16355328,299216896,1,allow
29.178,3390304256,16355328,14322688,282963968,280982528,299319296,282963968,16355328,299319296,1,allow
29.684,3390382080,16355328,14322688,283086848,281023488,299442176,283086848,16355328,299442176,1,allow
30.190,3390345216,16355328,14322688,283086848,281019392,299442176,283086848,16355328,299442176,1,allow
30.697,3390377984,16355328,14322688,283078656,281056256,299433984,283078656,16355328,299433984,1,allow
31.203,3390550016,16355328,14322688,283209728,281232384,299565056,283209728,16355328,299565056,1,allow
31.709,3390689280,16355328,14322688,283193344,281322496,299548672,283193344,16355328,299548672,1,allow
32.215,3391574016,16355328,14322688,283848704,282092544,300204032,283848704,16355328,300204032,1,allow
32.721,3391041536,16355328,14326784,283717632,281646080,300072960,283717632,16355328,300072960,1,allow
33.227,3391250432,16355328,14326784,283848704,281891840,300204032,283848704,16355328,300204032,1,allow
33.735,3391168512,16355328,14326784,283713536,281654272,300068864,283713536,16355328,300068864,1,allow
34.242,3391377408,16355328,14326784,283975680,281936896,300331008,283975680,16355328,300331008,1,allow
34.749,3391012864,16355328,14326784,283713536,281691136,300068864,283713536,16355328,300068864,1,allow
35.255,3391217664,16355328,14326784,283975680,281986048,300331008,283975680,16355328,300331008,1,allow
35.761,3391098880,16355328,14326784,283676672,281703424,300032000,283676672,16355328,300032000,1,allow
36.267,3391332352,16355328,14326784,283807744,281998336,300163072,283807744,16355328,300163072,1,allow
36.774,3390935040,16355328,14326784,283664384,281748480,300019712,283664384,16355328,300019712,1,allow
37.280,3391426560,16355328,14326784,284057600,282113024,300412928,284057600,16355328,300412928,1,allow
37.786,3391930368,16355328,14326784,284430336,282518528,300785664,284430336,16355328,300785664,1,allow
38.292,3392159744,16355328,14326784,284823552,282899456,301178880,284823552,16355328,301178880,1,allow
38.801,3391840256,16355328,14326784,284663808,282522624,301019136,284663808,16355328,301019136,1,allow
39.308,3391717376,16355328,14326784,284794880,282452992,301150208,284794880,16355328,301150208,1,allow
39.814,3391733760,16355328,14326784,284663808,282379264,301019136,284663808,16355328,301019136,1,allow
40.320,3391696896,16355328,14326784,284381184,282366976,300736512,284381184,16355328,300736512,1,allow
40.828,3391528960,16355328,14326784,284381184,282346496,300736512,284381184,16355328,300736512,1,allow
41.334,3391725568,16355328,14326784,284508160,282346496,300863488,284508160,16355328,300863488,1,allow
41.841,3391623168,16355328,14326784,284508160,282338304,300863488,284508160,16355328,300863488,1,allow
42.347,3391598592,16355328,14326784,284377088,282346496,300732416,284377088,16355328,300732416,1,allow
42.853,3391537152,16355328,14326784,284377088,282338304,300732416,284377088,16355328,300732416,1,allow
43.360,3391901696,16355328,14326784,284491776,282412032,300847104,284491776,16355328,300847104,1,allow
43.872,3391717376,16355328,14326784,284348416,282305536,300703744,284348416,16355328,300703744,1,allow
44.378,3391741952,16355328,14326784,284348416,282321920,300703744,284348416,16355328,300703744,1,allow
44.884,3391819776,16355328,14326784,284348416,282326016,300703744,284348416,16355328,300703744,1,allow
45.391,3391799296,16355328,14326784,284348416,282326016,300703744,284348416,16355328,300703744,1,allow
45.898,3391741952,16355328,14326784,284348416,282317824,300703744,284348416,16355328,300703744,1,allow
46.405,3391684608,16355328,14326784,284475392,282326016,300830720,284475392,16355328,300830720,1,allow
46.912,3391623168,16355328,14326784,284475392,282326016,300830720,284475392,16355328,300830720,1,allow
47.418,3391569920,16355328,14326784,284471296,282326016,300826624,284471296,16355328,300826624,1,allow
47.924,3391766528,16355328,14326784,284471296,282338304,300826624,284471296,16355328,300826624,1,allow
48.431,3391991808,16355328,14326784,284438528,282452992,300793856,284438528,16355328,300793856,1,allow
48.938,3391807488,16355328,14326784,284438528,282383360,300793856,284438528,16355328,300793856,1,allow
49.444,3391754240,16355328,14326784,284438528,282387456,300793856,284438528,16355328,300793856,1,allow
49.950,3391225856,16355328,14326784,283987968,282010624,300343296,283987968,16355328,300343296,1,allow
50.456,3391438848,16355328,14326784,284106752,282043392,300462080,284106752,16355328,300462080,1,allow
50.962,3391590400,16355328,14326784,284106752,282014720,300462080,284106752,16355328,300462080,1,allow
51.469,3391963136,16355328,14326784,284495872,282407936,300851200,284495872,16355328,300851200,1,allow
51.975,3391787008,16355328,14326784,284319744,282305536,300675072,284319744,16355328,300675072,1,allow
52.481,3392020480,16355328,14326784,284786688,282559488,301142016,284786688,16355328,301142016,1,allow
52.988,3391938560,16355328,14326784,284786688,282543104,301142016,284786688,16355328,301142016,1,allow
53.495,3391909888,16355328,14326784,284778496,282563584,301133824,284778496,16355328,301133824,1,allow
54.001,3392028672,16355328,14326784,284778496,282530816,301133824,284778496,16355328,301133824,1,allow
54.507,3392008192,16355328,14326784,284590080,282559488,300945408,284590080,16355328,300945408,1,allow
55.013,3392098304,16355328,14326784,284590080,282530816,300945408,284590080,16355328,300945408,1,allow
55.519,3392049152,16355328,14326784,284585984,282555392,300941312,284585984,16355328,300941312,1,allow
56.025,3391918080,16355328,14326784,284585984,282539008,300941312,284585984,16355328,300941312,1,allow
56.532,3392163840,16355328,14326784,284577792,282551296,300933120,284577792,16355328,300933120,1,allow
57.039,3392028672,16355328,14326784,284577792,282555392,300933120,284577792,16355328,300933120,1,allow
57.545,3391918080,16355328,14326784,284577792,282563584,300933120,284577792,16355328,300933120,1,allow
58.052,3392077824,16355328,14326784,284577792,282563584,300933120,284577792,16355328,300933120,1,allow
