t_rel,cgroup_bytes,kernel_rss,kernel_pss,claude_rss,claude_pss,health_observed,health_claude_rss,health_kernel_rss,health_service_rss,health_pending,health_admission
0.114,3394752512,16355328,14360576,284516352,282423296,300871680,284516352,16355328,300871680,0,allow
0.868,3397275648,16355328,14360576,284508160,282427392,300863488,284508160,16355328,300863488,0,allow
1.443,3394654208,16355328,14360576,284635136,282427392,300990464,284635136,16355328,300990464,0,allow
1.988,3395375104,16355328,14360576,284635136,282431488,300990464,284635136,16355328,300990464,0,allow
2.500,3396583424,16355328,14360576,284635136,282431488,300990464,284635136,16355328,300990464,0,allow
3.010,3396538368,16355328,14360576,284635136,282439680,300990464,284635136,16355328,300990464,0,allow
3.588,3396202496,16355328,14389248,285175808,283111424,301531136,285175808,16355328,301531136,1,allow
4.094,3396136960,16355328,14389248,284901376,282800128,301256704,284901376,16355328,301256704,1,allow
4.600,3396018176,16355328,14389248,285032448,282816512,301387776,285032448,16355328,301387776,1,allow
5.107,3395788800,16355328,14389248,285032448,282816512,301387776,285032448,16355328,301387776,1,allow
5.614,3395751936,16355328,14389248,284901376,282828800,301256704,284901376,16355328,301256704,1,allow
6.120,3395665920,16355328,14389248,284901376,282828800,301256704,284901376,16355328,301256704,1,allow
6.626,3395842048,16355328,14389248,284979200,282828800,301334528,284979200,16355328,301334528,1,allow
7.132,3395801088,16355328,14389248,284979200,282828800,301334528,284979200,16355328,301334528,1,allow
7.639,3409031168,16355328,14389248,284950528,282832896,301305856,284950528,16355328,301305856,1,allow
8.145,3396153344,16355328,14389248,284950528,282832896,301305856,284950528,16355328,301305856,1,allow
8.652,3395936256,16355328,14389248,285073408,282832896,301428736,285073408,16355328,301428736,1,allow
9.159,3396141056,16355328,14389248,285073408,282832896,301428736,285073408,16355328,301428736,1,allow
9.665,3396112384,16355328,14389248,284942336,282832896,301297664,284942336,16355328,301297664,1,allow
10.171,3396300800,16355328,14389248,285204480,283111424,301559808,285204480,16355328,301559808,1,allow
10.677,3395981312,16355328,14389248,285069312,282845184,301424640,285069312,16355328,301424640,1,allow
11.186,3396190208,16355328,14389248,285331456,283131904,301686784,285331456,16355328,301686784,1,allow
