t_rel,cgroup_bytes,kernel_rss,kernel_pss,claude_rss,claude_pss,health_observed,health_claude_rss,health_kernel_rss,health_service_rss,health_pending,health_admission
0.545,3369050112,15568896,13646848,274579456,272544768,290148352,274579456,15568896,290148352,0,allow
1.286,3368960000,15568896,13646848,274604032,272561152,290172928,274604032,15568896,290172928,0,allow
1.988,3369242624,15568896,13646848,274616320,272581632,290185216,274616320,15568896,290185216,0,allow
2.502,3369095168,15568896,13655040,274616320,272548864,290185216,274616320,15568896,290185216,0,allow
3.289,3371454464,15699968,13847552,274874368,272847872,290574336,274874368,15699968,290574336,1,allow
3.796,3369938944,15699968,13863936,274944000,272933888,290643968,274944000,15699968,290643968,1,allow
4.302,3369910272,15699968,13863936,274944000,272942080,290643968,274944000,15699968,290643968,1,allow
4.808,3370471424,15699968,13863936,274907136,272933888,290607104,274907136,15699968,290607104,1,allow
5.314,3371003904,15699968,13868032,275402752,273429504,291102720,275402752,15699968,291102720,1,allow
5.820,3371175936,15699968,13868032,275447808,273462272,291147776,275447808,15699968,291147776,1,allow
6.325,3384107008,15699968,13868032,275447808,273495040,291147776,275447808,15699968,291147776,1,allow
6.832,3370602496,15699968,13868032,275386368,273507328,291086336,275386368,15699968,291086336,1,allow
7.337,3370487808,15699968,13868032,275517440,273511424,291217408,275517440,15699968,291217408,1,allow
7.844,3370885120,15699968,13868032,275742720,273814528,291442688,275742720,15699968,291442688,1,allow
8.350,3370848256,15699968,13868032,275742720,273728512,291442688,275742720,15699968,291442688,1,allow
8.856,3371257856,15699968,13868032,275939328,274031616,291639296,275939328,15699968,291639296,1,allow
9.362,3370901504,15699968,13868032,275804160,273839104,291504128,275804160,15699968,291504128,1,allow
9.868,3370823680,15699968,13868032,275755008,273835008,291454976,275755008,15699968,291454976,1,allow
10.375,3371159552,15699968,13868032,276148224,274183168,291848192,276148224,15699968,291848192,1,allow
10.880,3371307008,15699968,13868032,276070400,274195456,291770368,276070400,15699968,291770368,1,allow
11.386,3371712512,15699968,13868032,276070400,274215936,291770368,276070400,15699968,291770368,1,allow
11.892,3371945984,15699968,13868032,276094976,274199552,291794944,276094976,15699968,291794944,1,allow
12.400,3371855872,15699968,13868032,276094976,274224128,291794944,276094976,15699968,291794944,1,allow
12.906,3371327488,15699968,13868032,276299776,274220032,291999744,276299776,15699968,291999744,1,allow
13.412,3371327488,15699968,13868032,276299776,274232320,291999744,276299776,15699968,291999744,1,allow
13.919,3371479040,15699968,13868032,276205568,274232320,291905536,276205568,15699968,291905536,1,allow
14.425,3371261952,15699968,13868032,276205568,274240512,291905536,276205568,15699968,291905536,1,allow
14.931,3373514752,15699968,13868032,276226048,274236416,291926016,276226048,15699968,291926016,1,allow
15.437,3373301760,15699968,13868032,276226048,274252800,291926016,276226048,15699968,291926016,1,allow
15.942,3374174208,15699968,13868032,276221952,274285568,291921920,276221952,15699968,291921920,1,allow
16.448,3374215168,15699968,13868032,276221952,274301952,291921920,276221952,15699968,291921920,1,allow
16.954,3387326464,15699968,13876224,276262912,274334720,291962880,276262912,15699968,291962880,1,allow
17.463,3387052032,15699968,13876224,276131840,274195456,291831808,276131840,15699968,291831808,1,allow
17.969,3387162624,15699968,13876224,276299776,274203648,291999744,276299776,15699968,291999744,1,allow
18.476,3387064320,15699968,13876224,276168704,274199552,291868672,276168704,15699968,291868672,1,allow
18.982,3376316416,15699968,13888512,276291584,274371584,291991552,276291584,15699968,291991552,1,allow
19.488,3376254976,15699968,13888512,276291584,274297856,291991552,276291584,15699968,291991552,1,allow
19.994,3376308224,15699968,13888512,276226048,274334720,291926016,276226048,15699968,291926016,1,allow
20.500,3374948352,15699968,13888512,276226048,274322432,291926016,276226048,15699968,291926016,1,allow
21.007,3374968832,15699968,13888512,276353024,274342912,292052992,276353024,15699968,292052992,1,allow
21.513,3374915584,15699968,13888512,276353024,274326528,292052992,276353024,15699968,292052992,1,allow
22.019,3387928576,15699968,13888512,276295680,274326528,291995648,276295680,15699968,291995648,1,allow
22.525,3388526592,15699968,13888512,276688896,274883584,292388864,276688896,15699968,292388864,1,allow
23.035,3374780416,15699968,13888512,276746240,274768896,292446208,276746240,15699968,292446208,1,allow
23.541,3374804992,15699968,13888512,276746240,274650112,292446208,276746240,15699968,292446208,1,allow
24.047,3374657536,15699968,13896704,276832256,274695168,292532224,276832256,15699968,292532224,1,allow
24.553,3374874624,15699968,13896704,276832256,274764800,292532224,276832256,15699968,292532224,1,allow
25.059,3374690304,15699968,13900800,276705280,274772992,292405248,276705280,15699968,292405248,1,allow
25.566,3375456256,15699968,13900800,276705280,274760704,292405248,276705280,15699968,292405248,1,allow
26.072,3375579136,15699968,13900800,276938752,275031040,292638720,276938752,15699968,292638720,1,allow
26.586,3391721472,15699968,13900800,277200896,275268608,292900864,277200896,15699968,292900864,1,allow
27.093,3375730688,15699968,13900800,277282816,275436544,292982784,277282816,15699968,292982784,1,allow
27.599,3375644672,15699968,13900800,277282816,275461120,292982784,277282816,15699968,292982784,1,allow
28.106,3375689728,15699968,13900800,277360640,275518464,293060608,277360640,15699968,293060608,1,allow
28.613,3375759360,15699968,13900800,277360640,275481600,293060608,277360640,15699968,293060608,1,allow
29.119,3375681536,15699968,13900800,277463040,275493888,293163008,277463040,15699968,293163008,1,allow
29.625,3377557504,15699968,13900800,277712896,275661824,293412864,277712896,15699968,293412864,1,allow
30.131,3376025600,15699968,13900800,277647360,275674112,293347328,277647360,15699968,293347328,1,allow
30.637,3376451584,15699968,13900800,277647360,275694592,293347328,277647360,15699968,293347328,1,allow
31.143,3376369664,15699968,13908992,277614592,275715072,293314560,277614592,15699968,293314560,1,allow
